num_doc,tipo_cliente,grupo_riesgo
794365817219.0,adicion,t4
854567066274.0,adicion,t4
899508554779.0,objetivo,t6
915964280324.0,adicion,t6
954082953156.0,objetivo,t7
11385674704.0,objetivo,t2
27651069535.0,objetivo,t6
44525490808.0,adicion,t5
73521675536.0,adicion,t3
82708668434.0,objetivo,t5
128987625426.0,adicion,t3
137820502406.0,objetivo,t6
164859555949.0,objetivo,t4
248985549403.0,objetivo,t5
334274855529.0,objetivo,t6
337820393013.0,adicion,t7
377248888872.0,objetivo,t7
422832360451.0,adicion,t2
561870159747.0,objetivo,t6
573056893850.0,adicion,t7
599088365959.0,adicion,t5
680268999772.0,objetivo,t6
696967063552.0,adicion,t6
707486133715.0,adicion,t7
791827037338.0,objetivo,t5
805365137653.0,adicion,t6
810058289821.0,adicion,t4
815629376674.0,adicion,t6
831646467611.0,objetivo,t7
946602098136.0,adicion,t5
956055867206.0,adicion,t6
975134982364.0,objetivo,t7
979383574817.0,objetivo,t6
994708094693.0,adicion,t5
37522777211.0,adicion,t6
58357357077.0,adicion,t4
82046422320.0,objetivo,t6
90473601782.0,objetivo,t5
164986425373.0,adicion,t6
172087952795.0,adicion,t5
250849206861.0,adicion,t5
273016587246.0,objetivo,t4
287794077208.0,adicion,t2
335833670755.0,objetivo,t6
361406418308.0,objetivo,t5
377343173074.0,adicion,t5
391377937934.0,adicion,t3
481590983363.0,adicion,t3
550109559070.0,adicion,t6
564161437031.0,adicion,t4
580677662527.0,adicion,t1
606800273595.0,objetivo,t5
638018978611.0,adicion,t5
657732762919.0,adicion,t4
662439171124.0,objetivo,t5
662726194887.0,objetivo,t7
664929121762.0,objetivo,t4
721405555785.0,adicion,t5
730147221108.0,objetivo,t3
750141278019.0,objetivo,t6
780460588824.0,adicion,t5
806801795240.0,objetivo,t6
856188060221.0,objetivo,t6
857041105703.0,adicion,t5
907313064003.0,adicion,t3
962618036138.0,adicion,t5
975840603241.0,objetivo,t6
90800328551.0,adicion,t2
104361838245.0,objetivo,t5
157019120982.0,adicion,t5
218161216859.0,objetivo,t6
226360069666.0,objetivo,t6
259498873838.0,objetivo,t7
286785083854.0,objetivo,t5
360468529297.0,adicion,t7
377505433516.0,adicion,t6
380040974608.0,adicion,t6
386407247721.0,adicion,t4
401941753117.0,adicion,t5
413319895898.0,objetivo,t6
480625695010.0,objetivo,t5
510062758739.0,adicion,t6
510391794231.0,adicion,t7
527337070174.0,adicion,t6
559290175018.0,objetivo,t6
592484917212.0,objetivo,t4
625088974061.0,objetivo,t5
710999153807.0,adicion,t6
717969875448.0,adicion,t4
776005686887.0,adicion,t6
816469560021.0,adicion,t1
838524014843.0,objetivo,t5
926359251993.0,objetivo,t1
933642740628.0,objetivo,t5
4557759644.0,adicion,t6
14514491719.0,objetivo,t5
70951572444.0,adicion,t4
99098555937.0,adicion,t4
128886790968.0,adicion,t6
153054786674.0,adicion,t6
248645289016.0,objetivo,t5
255738987260.0,adicion,t5
263494239244.0,adicion,t8
265552544078.0,objetivo,t5
312135216529.0,adicion,t3
362130484142.0,adicion,t5
395081817065.0,objetivo,t5
396264295867.0,objetivo,t6
457824581627.0,objetivo,t4
469573901783.0,objetivo,t6
478849314103.0,objetivo,t7
540684236288.0,objetivo,t5
545098999742.0,adicion,t7
573692039955.0,adicion,t3
579261352922.0,adicion,t5
600916214487.0,adicion,t3
624233223073.0,objetivo,t5
675321157576.0,adicion,t7
700784254893.0,adicion,t5
720184530426.0,adicion,t3
728910944282.0,adicion,t5
734475363153.0,objetivo,t5
743259528096.0,objetivo,t6
810981405943.0,adicion,t5
823471949614.0,adicion,t5
827259826019.0,adicion,t2
893971917636.0,adicion,t5
898726720021.0,adicion,t6
974624256407.0,adicion,t1
983621317738.0,adicion,t5
56737477330.0,adicion,t1
97167981764.0,objetivo,t6
116446575124.0,objetivo,t3
133649229263.0,adicion,t6
163911176802.0,objetivo,t7
213501049443.0,adicion,t5
235708650524.0,adicion,t6
299268682783.0,objetivo,t6
315605263642.0,objetivo,t5
325090500693.0,objetivo,t3
347445296792.0,objetivo,t6
356864944340.0,objetivo,t5
393736165152.0,adicion,t6
419044176986.0,adicion,t6
427589052609.0,objetivo,t7
441366927216.0,adicion,t5
445720770557.0,objetivo,t4
570935712238.0,objetivo,t5
578733385260.0,objetivo,t6
596011016855.0,adicion,t1
638341063414.0,adicion,t6
681466958037.0,adicion,t6
686271902859.0,adicion,t2
694477529064.0,adicion,t5
761487698732.0,adicion,t6
771824759763.0,objetivo,t6
803353143720.0,adicion,t6
803905085720.0,objetivo,t5
810317871308.0,objetivo,t5
875772221286.0,adicion,t1
915613100574.0,objetivo,t5
951275463620.0,adicion,t6
16668920988.0,objetivo,t5
24261156402.0,objetivo,t7
94763238014.0,objetivo,t6
108055444447.0,objetivo,t5
175669205130.0,objetivo,t7
339187728465.0,adicion,t5
339606082934.0,adicion,t5
351785975239.0,adicion,t5
379047892169.0,adicion,t5
382184028467.0,adicion,t3
383034523673.0,objetivo,t4
414543415142.0,adicion,t4
431317576593.0,objetivo,t6
516126878959.0,objetivo,t6
534137431682.0,adicion,t3
554196676557.0,objetivo,t6
589926829701.0,objetivo,t6
713164513451.0,adicion,t5
817601577926.0,adicion,t1
823462168806.0,objetivo,t6
824242854406.0,objetivo,t3
868137426701.0,objetivo,t4
868374267377.0,adicion,t6
904849184156.0,adicion,t7
906914279825.0,objetivo,t3
922029382649.0,adicion,t5
941130127606.0,adicion,t5
943220400801.0,objetivo,t6
951633043510.0,objetivo,t6
965509508765.0,adicion,t5
269916726043.0,objetivo,t4
281451272513.0,objetivo,t6
291270484275.0,objetivo,t3
340325947428.0,adicion,t6
383265463626.0,adicion,t6
421528636856.0,objetivo,t7
489682766214.0,adicion,t5
509414388008.0,adicion,t4
532017081421.0,adicion,t4
540673483854.0,objetivo,t6
557199920440.0,adicion,t5
606108853488.0,objetivo,t7
615178097647.0,adicion,t6
629274752110.0,adicion,t6
726201278097.0,adicion,t3
728289549277.0,objetivo,t5
792914982297.0,objetivo,t6
848735112443.0,adicion,t5
865655974873.0,objetivo,t4
873643133596.0,adicion,t4
913454611542.0,objetivo,t7
967239796559.0,adicion,t4
974892007006.0,adicion,t1
975202845698.0,objetivo,t4
979774241902.0,objetivo,t6
57293446518.0,adicion,t5
112200054636.0,adicion,t2
136666679104.0,adicion,t6
138030318256.0,adicion,t1
189164003260.0,adicion,t5
197924270820.0,adicion,t5
234790673347.0,adicion,t5
255465372085.0,adicion,t1
266523759151.0,objetivo,t3
274725974288.0,adicion,t4
283027336191.0,objetivo,t4
296174618186.0,objetivo,t6
306412776559.0,adicion,t5
342321093162.0,objetivo,t4
364932260662.0,adicion,t6
383145848298.0,objetivo,t5
436292313647.0,objetivo,t6
441551765506.0,adicion,t2
443662022441.0,adicion,t6
503212724343.0,adicion,t5
530839839672.0,adicion,t5
541259317695.0,objetivo,t5
594671943887.0,objetivo,t5
627263028423.0,adicion,t6
630256676294.0,adicion,t6
683773272189.0,objetivo,t2
713285631146.0,adicion,t5
845602481031.0,adicion,t5
871923563042.0,objetivo,t6
890948385071.0,objetivo,t5
945074696597.0,objetivo,t5
956288501648.0,adicion,t7
975289052197.0,objetivo,t6
6943702433.0,objetivo,t5
42326688772.0,adicion,t6
64137278964.0,adicion,t6
66638384182.0,adicion,t2
76389896428.0,adicion,t5
122844029167.0,adicion,t4
223904423414.0,objetivo,t5
300728915044.0,objetivo,t1
307694096366.0,objetivo,t3
320135252016.0,adicion,t4
325195167345.0,objetivo,t6
326355768338.0,adicion,t5
333175620292.0,objetivo,t5
374040574486.0,adicion,t5
384175647982.0,objetivo,t6
441753282514.0,objetivo,t7
445645819760.0,objetivo,t6
445785260183.0,objetivo,t7
499693216286.0,adicion,t5
504174130495.0,adicion,t3
524632048430.0,objetivo,t5
595593170769.0,objetivo,t8
598196019928.0,objetivo,t1
638817078103.0,objetivo,t6
649484058183.0,adicion,t1
667464638047.0,objetivo,t6
696370439451.0,adicion,t7
727044369405.0,adicion,t6
767207395375.0,objetivo,t7
797197376855.0,adicion,t2
806622439728.0,objetivo,t3
878166852916.0,adicion,t4
953576848628.0,objetivo,t7
956145257836.0,adicion,t4
956165210615.0,adicion,t6
974815542715.0,adicion,t5
997184651277.0,adicion,t4
115453092403.0,adicion,t8
142175780162.0,objetivo,t7
153266816073.0,adicion,t3
177767924367.0,adicion,t7
212131191427.0,adicion,t2
243719609154.0,adicion,t5
259199853124.0,objetivo,t3
260477554528.0,adicion,t4
301441439222.0,objetivo,t4
305559216757.0,adicion,t4
348193149686.0,objetivo,t6
351773568373.0,adicion,t2
357800518531.0,objetivo,t5
367542797316.0,adicion,t3
404935166460.0,adicion,t3
486320705073.0,objetivo,t6
528566058085.0,adicion,t6
537001173007.0,objetivo,t5
553138877229.0,adicion,t5
557507349982.0,adicion,t5
625733116077.0,objetivo,t7
655833048175.0,objetivo,t6
668770820426.0,adicion,t4
754648727686.0,objetivo,t3
777985915318.0,objetivo,t7
812545814351.0,adicion,t6
827034491936.0,objetivo,t4
842128488052.0,objetivo,t6
930753738443.0,adicion,t2
932965834852.0,objetivo,t6
939623673574.0,adicion,t4
949280462193.0,objetivo,t6
990025678003.0,adicion,t1
996005841119.0,objetivo,t3
21263974832.0,adicion,t4
115732002572.0,adicion,t5
133667822028.0,adicion,t3
151110432470.0,adicion,t7
173058072974.0,objetivo,t4
177467707450.0,adicion,t6
178257817768.0,adicion,t6
186641985992.0,adicion,t4
205511562330.0,adicion,t5
284452375928.0,objetivo,t6
318306697481.0,adicion,t5
334174765652.0,adicion,t5
383036398647.0,objetivo,t7
395133742171.0,adicion,t7
412860674970.0,adicion,t7
433754167113.0,objetivo,t4
437633598728.0,objetivo,t6
556405066615.0,objetivo,t6
567247628759.0,objetivo,t6
606226746848.0,adicion,t4
607622133152.0,objetivo,t6
610853441390.0,adicion,t7
647745965278.0,adicion,t3
657751524909.0,adicion,t2
665979401605.0,adicion,t3
686584297002.0,objetivo,t5
689336048660.0,adicion,t1
697998053041.0,objetivo,t6
791085143210.0,objetivo,t6
823616941741.0,adicion,t1
826421791159.0,objetivo,t6
840117740882.0,adicion,t3
855051056256.0,adicion,t6
877463721246.0,adicion,t1
919773360062.0,objetivo,t6
954559074780.0,adicion,t1
28544332525.0,adicion,t2
60508995754.0,adicion,t5
119299331670.0,objetivo,t6
161503231960.0,objetivo,t6
188745804525.0,objetivo,t7
212431541866.0,adicion,t5
222614178959.0,adicion,t5
263217904202.0,objetivo,t4
275108008648.0,adicion,t3
278438630452.0,objetivo,t5
291316628486.0,adicion,t7
398979428160.0,objetivo,t5
407037802299.0,adicion,t4
432989017483.0,adicion,t5
452146075257.0,adicion,t6
453967029990.0,adicion,t7
494298354048.0,adicion,t4
514771225033.0,objetivo,t6
518298439142.0,objetivo,t5
543976604725.0,objetivo,t1
555241008398.0,adicion,t1
604380959766.0,objetivo,t5
778841866013.0,adicion,t5
815922870181.0,objetivo,t6
820428536728.0,adicion,t2
831034842210.0,objetivo,t6
832624389199.0,objetivo,t7
837479181986.0,adicion,t5
845054656842.0,objetivo,t1
913142657746.0,adicion,t3
946051667753.0,adicion,t5
957869914341.0,adicion,t4
21264811145.0,adicion,t3
115735541970.0,adicion,t4
134100120995.0,objetivo,t4
147436164203.0,objetivo,t6
150378609170.0,objetivo,t4
154248438334.0,adicion,t3
161736660230.0,adicion,t5
173552648932.0,adicion,t7
209116825409.0,objetivo,t3
226632655972.0,objetivo,t6
241619998776.0,objetivo,t5
254583579865.0,objetivo,t5
304526569400.0,adicion,t3
305884963524.0,objetivo,t5
424410074459.0,adicion,t6
426394219326.0,adicion,t4
427054881087.0,adicion,t1
430186672806.0,adicion,t1
432278897334.0,adicion,t4
592945300432.0,objetivo,t6
613656685939.0,adicion,t3
628233644373.0,objetivo,t7
671406945633.0,adicion,t1
676053873323.0,adicion,t4
677845339925.0,adicion,t5
682022578475.0,objetivo,t6
692514292621.0,adicion,t2
710612134681.0,adicion,t4
785886539204.0,adicion,t7
802765582666.0,objetivo,t6
863180440832.0,objetivo,t6
902514734261.0,objetivo,t5
942726253132.0,objetivo,t6
980974748042.0,objetivo,t5
988386345652.0,adicion,t3
998175863359.0,objetivo,t3
10627359005.0,objetivo,t5
29846337682.0,adicion,t6
38586979065.0,adicion,t1
68240738671.0,objetivo,t4
71810247611.0,objetivo,t7
79014785854.0,objetivo,t6
126692678687.0,adicion,t6
163136695077.0,objetivo,t6
227832970214.0,adicion,t3
305675434903.0,adicion,t4
328867963205.0,objetivo,t6
340522312614.0,adicion,t6
365921290376.0,adicion,t6
375406030831.0,adicion,t3
423605654674.0,adicion,t5
466510111950.0,adicion,t6
567061923498.0,objetivo,t5
592620600770.0,adicion,t6
612111973505.0,adicion,t6
620428639414.0,adicion,t5
645840799601.0,adicion,t3
658054321367.0,objetivo,t5
664151046632.0,adicion,t6
683888316203.0,adicion,t6
731166642830.0,adicion,t5
753839300212.0,objetivo,t7
801113414751.0,adicion,t1
831223214068.0,adicion,t8
834984705300.0,objetivo,t6
898272994576.0,adicion,t3
919025000038.0,adicion,t5
954932205064.0,adicion,t4
969933025250.0,adicion,t6
973704028392.0,adicion,t2
976294226097.0,objetivo,t6
21970851800.0,adicion,t7
36691010617.0,objetivo,t4
75349619373.0,adicion,t6
113665663097.0,adicion,t1
160437166598.0,adicion,t1
162961750318.0,adicion,t3
171454384810.0,adicion,t7
172854761349.0,objetivo,t6
176609758535.0,objetivo,t3
239881264935.0,objetivo,t6
243121217209.0,objetivo,t3
273248404246.0,adicion,t7
295926743237.0,objetivo,t6
363543065067.0,adicion,t6
369007328307.0,adicion,t3
375729885314.0,objetivo,t3
408552166535.0,objetivo,t3
443582321109.0,objetivo,t6
484258447916.0,adicion,t3
523927678920.0,adicion,t4
540158833173.0,adicion,t1
557837249512.0,adicion,t5
570296094329.0,adicion,t4
573686107353.0,adicion,t3
620951368643.0,objetivo,t7
668587885725.0,adicion,t7
709581829160.0,adicion,t1
722751780646.0,objetivo,t5
729512241222.0,adicion,t6
751749573840.0,adicion,t3
781844597526.0,adicion,t3
792388367827.0,objetivo,t4
821148430333.0,adicion,t4
854991962350.0,objetivo,t6
865092790736.0,adicion,t2
869651346804.0,objetivo,t4
879352829989.0,objetivo,t3
20040494511.0,adicion,t2
79169820356.0,adicion,t6
129496971460.0,objetivo,t6
131360528386.0,adicion,t1
132902068350.0,objetivo,t6
168445528572.0,objetivo,t7
262060819987.0,adicion,t6
278955101434.0,objetivo,t6
334716043310.0,adicion,t3
361177113179.0,objetivo,t4
417707930255.0,objetivo,t5
419811442174.0,adicion,t6
445029757375.0,adicion,t7
480977849977.0,adicion,t5
490418078678.0,adicion,t7
538411516628.0,adicion,t6
547747512982.0,adicion,t6
549900261222.0,objetivo,t2
561129542614.0,objetivo,t4
661412496169.0,objetivo,t6
665057554130.0,objetivo,t1
665104925159.0,objetivo,t7
734734730791.0,objetivo,t5
753329982437.0,objetivo,t6
846378312735.0,adicion,t5
857316636311.0,adicion,t5
875653727863.0,adicion,t5
904234296424.0,adicion,t6
927473325429.0,adicion,t5
931215902094.0,adicion,t5
938144760368.0,objetivo,t7
952490333480.0,adicion,t6
968236693841.0,adicion,t6
975844355597.0,objetivo,t5
64603892393.0,adicion,t6
66756328578.0,objetivo,t6
83371381381.0,adicion,t4
181746538053.0,objetivo,t4
228053020905.0,objetivo,t5
269595540646.0,objetivo,t6
282819363043.0,adicion,t4
306845373532.0,adicion,t2
332403213154.0,adicion,t5
337827868750.0,adicion,t5
397186681298.0,adicion,t5
423147405283.0,objetivo,t3
459429594898.0,adicion,t7
498765316605.0,objetivo,t7
507884680916.0,adicion,t3
519802602732.0,objetivo,t7
520022651771.0,adicion,t6
561205579151.0,adicion,t4
608688768032.0,adicion,t5
624573844853.0,adicion,t1
662387589776.0,objetivo,t2
680136307080.0,adicion,t6
696366391731.0,adicion,t6
740061774967.0,adicion,t7
776673915394.0,adicion,t5
777722049055.0,adicion,t5
785995019706.0,adicion,t6
795361061941.0,objetivo,t4
805640927666.0,adicion,t4
815494750804.0,adicion,t7
874222890467.0,adicion,t7
894392310239.0,adicion,t2
915457434693.0,objetivo,t6
926044951596.0,objetivo,t5
934096316895.0,objetivo,t5
937532445707.0,objetivo,t6
17945495411.0,objetivo,t5
45338748275.0,objetivo,t5
87657382639.0,adicion,t2
96674272772.0,objetivo,t3
195204726697.0,objetivo,t3
212823802818.0,objetivo,t3
222889514703.0,objetivo,t3
227057646293.0,objetivo,t6
238129013996.0,objetivo,t5
240012349934.0,objetivo,t5
300083453600.0,objetivo,t7
309131991093.0,adicion,t4
320127323135.0,adicion,t4
368219615054.0,adicion,t4
382329608519.0,adicion,t6
422652057950.0,objetivo,t5
431170191595.0,objetivo,t7
438269231961.0,objetivo,t7
525834379917.0,adicion,t6
622592587391.0,objetivo,t4
626771151094.0,objetivo,t5
628123964263.0,adicion,t6
649261181910.0,objetivo,t6
661635876432.0,adicion,t6
697220400211.0,adicion,t1
714260362136.0,adicion,t1
716125057635.0,adicion,t7
762114119622.0,objetivo,t7
795197121226.0,objetivo,t7
886110216887.0,adicion,t5
902158607065.0,objetivo,t5
914382112870.0,objetivo,t5
916132561682.0,objetivo,t5
22630496553.0,adicion,t5
54751343943.0,adicion,t5
64520696460.0,objetivo,t6
91037704118.0,adicion,t4
111414283764.0,adicion,t6
112105646846.0,adicion,t2
164832513052.0,objetivo,t6
196148950341.0,objetivo,t5
253078878486.0,adicion,t6
310954236063.0,adicion,t6
316640394602.0,adicion,t5
356001845047.0,adicion,t6
382340001222.0,adicion,t6
391096589632.0,objetivo,t5
459827288390.0,objetivo,t6
482295255856.0,objetivo,t7
525786248022.0,objetivo,t6
529772475643.0,objetivo,t6
535767927221.0,objetivo,t6
606711725192.0,adicion,t6
615403728591.0,adicion,t1
632266885749.0,adicion,t4
636968876762.0,adicion,t6
688327519131.0,adicion,t2
696031863474.0,adicion,t3
733177228947.0,objetivo,t6
806353672591.0,adicion,t1
845552312318.0,adicion,t6
864937591521.0,objetivo,t6
918743395965.0,adicion,t6
937765316660.0,adicion,t4
946141708856.0,objetivo,t6
954974580309.0,adicion,t5
968580584826.0,objetivo,t6
60609450932.0,adicion,t6
62006089274.0,objetivo,t5
85521286905.0,objetivo,t6
124174128960.0,objetivo,t6
133962624408.0,adicion,t5
237540350518.0,adicion,t5
322123256555.0,adicion,t6
333634747856.0,objetivo,t6
341898899086.0,adicion,t6
384362585924.0,adicion,t5
398835130232.0,adicion,t3
402112256118.0,adicion,t6
412997366169.0,objetivo,t6
457296897289.0,objetivo,t7
500783249467.0,objetivo,t5
543227407290.0,adicion,t1
630127713850.0,objetivo,t7
645352571976.0,objetivo,t4
697120731626.0,objetivo,t3
800685422343.0,adicion,t1
816862255359.0,adicion,t6
854600957431.0,adicion,t5
898942588415.0,objetivo,t6
903025175795.0,adicion,t5
950160395548.0,adicion,t5
954966461102.0,objetivo,t6
977863436222.0,objetivo,t4
3706701783.0,objetivo,t4
4389052337.0,adicion,t5
40157522172.0,objetivo,t5
54794810897.0,objetivo,t5
57418863526.0,adicion,t5
97411711978.0,adicion,t1
120328576839.0,objetivo,t1
121210083630.0,objetivo,t5
153896204319.0,adicion,t5
186486903652.0,objetivo,t4
205086085694.0,objetivo,t5
226272268916.0,objetivo,t4
379578347743.0,objetivo,t7
390377150604.0,objetivo,t6
431454810931.0,adicion,t2
435780078764.0,objetivo,t3
448922571355.0,objetivo,t6
448953098711.0,adicion,t4
460342643674.0,objetivo,t6
462539400397.0,objetivo,t6
482396732882.0,adicion,t6
518069378948.0,adicion,t5
522230267504.0,objetivo,t6
530947387290.0,adicion,t4
537832650694.0,adicion,t4
568072003671.0,objetivo,t5
610395820048.0,adicion,t1
645124135097.0,adicion,t6
689778752655.0,adicion,t4
771914771486.0,adicion,t5
773545963310.0,objetivo,t5
796412392573.0,adicion,t4
823772262938.0,objetivo,t7
828735361863.0,objetivo,t5
834430174064.0,objetivo,t5
883990402178.0,adicion,t4
949620509088.0,adicion,t7
987075842749.0,objetivo,t5
17885950920.0,objetivo,t5
22400978625.0,adicion,t6
56369063434.0,objetivo,t6
67075804029.0,objetivo,t7
116121825704.0,adicion,t6
180516230859.0,adicion,t5
229753454250.0,adicion,t2
238727699813.0,objetivo,t6
265955189001.0,adicion,t4
288779363162.0,adicion,t5
344851336493.0,adicion,t2
365248876731.0,adicion,t5
390541887656.0,adicion,t6
436606054092.0,adicion,t5
450796582668.0,objetivo,t5
461089214821.0,objetivo,t6
479667069828.0,adicion,t8
515671517074.0,adicion,t1
573319809020.0,adicion,t3
573320554486.0,adicion,t2
584635112833.0,adicion,t5
597216542816.0,adicion,t3
692718540079.0,objetivo,t5
708849321803.0,adicion,t6
761995090970.0,adicion,t6
764717084325.0,objetivo,t7
827824929068.0,objetivo,t6
840503568267.0,adicion,t5
843867873136.0,objetivo,t7
870712327407.0,adicion,t6
896152705204.0,adicion,t4
949135546122.0,adicion,t4
23301398521.0,objetivo,t5
38770768986.0,objetivo,t5
110384110170.0,adicion,t4
110814090371.0,adicion,t1
113914712277.0,adicion,t5
117925192617.0,adicion,t6
280490485025.0,objetivo,t3
296040934736.0,adicion,t6
318746221269.0,adicion,t4
325034534713.0,adicion,t6
368777422956.0,adicion,t4
379630024299.0,objetivo,t4
385010793083.0,adicion,t6
393907328089.0,adicion,t5
436060552942.0,objetivo,t6
458554127312.0,adicion,t6
490250394133.0,adicion,t6
513901897920.0,adicion,t4
564562299726.0,adicion,t6
667277878383.0,adicion,t5
683598980791.0,adicion,t5
684406229047.0,objetivo,t4
688245692747.0,adicion,t6
706947836920.0,objetivo,t6
719633912923.0,adicion,t6
731054423665.0,objetivo,t5
731613903595.0,adicion,t5
733636189612.0,objetivo,t5
793168806691.0,objetivo,t5
862755092433.0,objetivo,t5
871941794037.0,objetivo,t5
934014252134.0,adicion,t5
955350652947.0,adicion,t5
958515193847.0,adicion,t3
23152517342.0,adicion,t1
24916484752.0,adicion,t3
25493816607.0,objetivo,t2
29863069472.0,objetivo,t5
71899508893.0,objetivo,t6
83623416754.0,adicion,t4
115586250321.0,adicion,t6
130857889210.0,adicion,t2
190739887937.0,adicion,t5
246930113550.0,adicion,t6
252629493648.0,objetivo,t3
266738474733.0,adicion,t5
390053652084.0,objetivo,t4
416387050764.0,objetivo,t7
454235294167.0,adicion,t7
467086079501.0,adicion,t4
535545609320.0,objetivo,t6
562444376662.0,adicion,t2
598042151998.0,adicion,t5
611953610171.0,adicion,t3
702147994929.0,adicion,t5
729079131586.0,objetivo,t4
794889770004.0,objetivo,t5
812893879079.0,objetivo,t4
816620004943.0,adicion,t6
916796385435.0,adicion,t6
987864989596.0,objetivo,t4
988946023999.0,objetivo,t7
56626582227.0,adicion,t6
68664509799.0,objetivo,t6
115589358199.0,adicion,t5
126149347428.0,adicion,t6
257415710247.0,objetivo,t6
304499604704.0,adicion,t5
329568650256.0,objetivo,t5
353273990921.0,adicion,t6
366767906934.0,adicion,t5
423415789603.0,adicion,t3
446808986151.0,adicion,t6
512024317505.0,adicion,t4
547128029374.0,adicion,t4
547785874815.0,adicion,t7
555505976437.0,objetivo,t5
579266540264.0,adicion,t6
731324601073.0,adicion,t6
783942177812.0,adicion,t4
865377263307.0,objetivo,t2
886894605282.0,objetivo,t3
939168652379.0,objetivo,t3
947112283598.0,adicion,t5
950386368163.0,objetivo,t4
998017358379.0,adicion,t4
968536700.0,adicion,t1
73465418824.0,objetivo,t6
141740436273.0,adicion,t5
143116382175.0,adicion,t3
145700867950.0,objetivo,t5
165458975674.0,adicion,t5
168037859834.0,adicion,t5
182050450685.0,adicion,t5
191576761390.0,adicion,t6
198250018220.0,objetivo,t3
267362422546.0,adicion,t6
276316877439.0,objetivo,t7
322227846858.0,objetivo,t5
323232865494.0,objetivo,t5
338593970028.0,adicion,t6
383355447347.0,objetivo,t6
416700718548.0,objetivo,t7
418400373933.0,objetivo,t5
451874397612.0,adicion,t7
464865487550.0,objetivo,t5
493816162255.0,adicion,t6
534919624720.0,adicion,t1
552218153930.0,adicion,t3
568920746096.0,adicion,t5
578143918716.0,objetivo,t4
634524168901.0,adicion,t5
703680717379.0,adicion,t1
713434199319.0,objetivo,t4
751876141324.0,adicion,t6
763899811079.0,adicion,t4
770791773185.0,adicion,t6
799519774063.0,objetivo,t4
821826655025.0,objetivo,t6
894327295905.0,adicion,t5
933246304206.0,objetivo,t6
947122850101.0,adicion,t2
977969752936.0,objetivo,t6
3030304325.0,adicion,t4
43761316253.0,adicion,t6
64040632649.0,objetivo,t7
70778280918.0,adicion,t1
99569562089.0,objetivo,t7
100321825726.0,objetivo,t2
107043215444.0,adicion,t4
110525876902.0,objetivo,t6
136460374828.0,adicion,t3
189038830309.0,objetivo,t6
222023482113.0,adicion,t3
233542900603.0,objetivo,t6
276635927001.0,adicion,t4
